"Hour","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration"
"00",0.611533492608631,0.510903317903539,-9.0915566671644,0.0845144990294162,0.426532955211289,0.144386448717336,0.160783544870838,0.39952629535613,116.906490368822,3.4799319695386
"01",0.613423400191022,0.505480625596944,-9.19084415791149,0.0855020694046482,0.431375320065266,0.148741764872652,0.163991929321872,0.396800031836995,116.018774434893,3.45260390003184
"02",0.611563709677419,0.506058818238213,-9.02753815136476,0.0843615074441687,0.423695218230459,0.145344700953784,0.161280877791563,0.398825651364764,116.17465601737,3.4789007806038
"03",0.608183813937521,0.492039133196018,-9.28767490559561,0.085261362856162,0.444473847442499,0.136640604761414,0.157363113628562,0.38721865774116,116.92047082046,3.4904900789564
"04",0.597771022727273,0.476404171238245,-9.75949902037618,0.0811602076802508,0.463052315948276,0.150618999083072,0.158677723354232,0.384084619905956,115.868404388715,3.45011016196447
"05",0.570890210075464,0.427510102590251,-11.0936897817663,0.0764656944727718,0.513693010544565,0.181906341395064,0.161467448500918,0.355890821945748,113.994426269631,3.44945665578897
"06",0.547297453749751,0.381757012930177,-12.5172112592003,0.0737603143027651,0.58118774726477,0.22071567088522,0.147941376566541,0.3245176646111,111.682068828327,3.44741013526954
"07",0.510392710606722,0.332552386948931,-14.4321468790921,0.0700369925796595,0.636862819227412,0.312265087221737,0.143176975120035,0.294688280226975,109.545048232213,3.41929083005965
"08",0.46037065337763,0.264456137873754,-17.4882638427464,0.0638742524916943,0.711704644850498,0.418700728995017,0.140133139534884,0.257374050387597,102.375571982281,3.29075398671096
"09",0.426160523699039,0.24237418826649,-18.9297832283726,0.0615020218760358,0.730998354955254,0.486443868074246,0.136090122638383,0.242207948293006,102.277371561153,3.256920760137
"10",0.422905521023766,0.257950434369287,-18.8251539305302,0.0614859597806216,0.710203398244973,0.485770514548446,0.13831747714808,0.251548058500914,101.388325045704,3.23910080438757
"11",0.500855990579923,0.368652815425375,-14.7711604356785,0.0711174860170739,0.576220579334707,0.333269452920224,0.146697409478952,0.31422243450103,107.11474712982,3.33346990481798
"12",0.538713308800981,0.421233916590003,-12.874403557191,0.0742711744863539,0.525617982950015,0.28664543874885,0.148506869058571,0.337257927016253,110.026816927323,3.42406686599203
"13",0.566745841084241,0.451942334839224,-11.3854464522987,0.075861387191071,0.48661319537603,0.215399300454425,0.156448551687483,0.357633324475153,112.04785915493,3.42734535388431
"14",0.60250770096825,0.479238410267958,-10.0095541544697,0.0820454402161675,0.45783051510921,0.149476457491556,0.164570839900923,0.37727736996172,113.735510920964,3.46440734068903
"15",0.614984643288996,0.505149846835953,-9.1919502216848,0.0844764006449013,0.425233782952439,0.124186858972189,0.163639480048368,0.402007154373237,115.760984885127,3.4590381700927
"16",0.622881328923632,0.520282521647625,-8.75468836440168,0.0860403938665063,0.403922167182802,0.109893075007517,0.163216160553217,0.412768971737823,116.419719332532,3.47609459059932
"17",0.627293388429752,0.526514251923625,-8.56984311769735,0.0870644343117697,0.399704158264463,0.0950418628198917,0.166191849529781,0.414865773724708,116.198470504417,3.48216679728318
"18",0.621409317699888,0.535974012722964,-8.38310165897468,0.0860202320069852,0.386514976063365,0.105715603430211,0.165609280279406,0.415312947486591,117.328056255457,3.44613592366222
"19",0.612162968282466,0.51531639497307,-9.09150819868342,0.0833154877318971,0.410959323255536,0.132659478819868,0.160067432675045,0.401467552363854,115.416625374028,3.46025396967884
"20",0.626620531488897,0.524993906079359,-8.58433842980221,0.0845467419002548,0.402783122011892,0.111596561976702,0.164308409173644,0.410745578206528,116.875297415362,3.47617316061967
"21",0.627535309617918,0.531429357048748,-8.50900711462451,0.0859516732542819,0.393549676337286,0.113618844432148,0.166121607378129,0.419474308300395,116.532184716733,3.46619591567852
"22",0.617130405759162,0.517470651832461,-8.8174054973822,0.0840466623036649,0.412427481753927,0.129634288426702,0.160577539267016,0.405898089005236,117.358943324607,3.50083970986038
"23",0.615720326936745,0.518850090973703,-8.84177071783937,0.0849296801705757,0.412026331968728,0.149416884959488,0.163452778962331,0.411623282160625,116.376073205402,3.46587758114191
