"Month","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration"
"01",0.587126344396901,0.465268489533942,-10.4523076211403,0.0821932346478547,0.473445316259975,0.187687695075749,0.154388712848387,0.386583219613739,113.740301144906,3.4518019255233
"02",0.577793477610452,0.44843433339982,-10.9496777700209,0.0795551311459061,0.506663068061235,0.205495045809315,0.153795332601975,0.37513596290017,113.772223995213,3.46785274758153
"03",0.590604114655571,0.490120862459547,-10.085407073509,0.0793492834026815,0.443375821867776,0.182367968540222,0.164534535367545,0.382047792417938,113.707301317614,3.42878186546463
"04",0.590394065102195,0.466802674186223,-10.4364394398183,0.0830172899318698,0.479340891430734,0.180047181040878,0.163197062831188,0.378214928084784,113.886285616957,3.46291792959879
"05",0.595611871113624,0.485313783210854,-10.1000469191634,0.0782072734124741,0.454989567712455,0.182302286866403,0.160649839834181,0.389303485961937,115.38013331449,3.41345952986621
"06",0.578030915452998,0.480079933137885,-10.6161587857008,0.0781382542084358,0.459234371316437,0.191585835734821,0.157221732551542,0.381035881407225,114.450440325326,3.46064135300422
"07",0.621305413709079,0.543222378429918,-8.52322671893209,0.0855634177349296,0.364109472698379,0.0977292682010806,0.171721760779744,0.412737027227461,116.555959423668,3.5081650422008
"08",0.58604036403406,0.457554610577299,-10.5584837903289,0.0787112100617139,0.475022436809624,0.171269879357863,0.158728364971487,0.371618326693227,113.594616436216,3.47476122698748
"09",0.563585798554785,0.428420803937472,-11.4915434301725,0.0766552352160448,0.513386227916237,0.202596178445657,0.156176765963722,0.346085297153812,111.972291844861,3.44953848621147
"10",0.600508289241623,0.475874794532628,-9.71167716049383,0.0808086948853615,0.460428657337743,0.141363616768078,0.158227989417989,0.373855731922399,115.238184744268,3.46103565990594
"11",0.58070121703854,0.462042177528883,-10.5893823088456,0.0775421818502513,0.486703833794867,0.176206041377547,0.152848919657818,0.370696604638857,114.038113502072,3.47662071170297
"12",0.610912388888889,0.49916924125,-9.79554472222222,0.0917579930555556,0.4240620275625,0.167708834893056,0.156983625,0.400319513194444,116.168678263889,3.33830241203704
